Country,Athlete,Gender,Year,Location,Sport,Event,Medals Earned
FRA,"COUTTET, James",Men,1948,St.Moritz,Skiing,Slalom,1
FRA,"CALMAT, Alain",Men,1964,Innsbruck,Skating,Individual,1
FRA,"LACROIX, Lí©o",Men,1964,Innsbruck,Skiing,Downhill,1
FRA,"GOITSCHEL, Christine",Women,1964,Innsbruck,Skiing,Giant Slalom,1
FRA,"GOITSCHEL, Marielle",Women,1964,Innsbruck,Skiing,Slalom,1
FRA,"Pí_RILLAT, Guy",Men,1968,Grenoble,Skiing,Downhill,1
FRA,"MIR, Isabelle",Women,1968,Grenoble,Skiing,Downhill,1
FRA,"FAMOSE, Annie",Women,1968,Grenoble,Skiing,Giant Slalom,1
FRA,"DEBERNARD, DaniíÂle",Women,1972,Sapporo,Skiing,Slalom,1
FRA,"PELEN, Perrine",Women,1984,Sarajevo,Skiing,Slalom,1
FRA,"DUCHESNAY, Paul",Men,1992,Albertville,Skating,Ice Dancing,1
FRA,"DUCHESNAY-DEAN, Isabelle",Women,1992,Albertville,Skating,Ice Dancing,1
FRA,"PICCARD, Franck",Men,1992,Albertville,Skiing,Downhill,1
FRA,"MERLE, Carole",Women,1992,Albertville,Skiing,Super-G,1
FRA,"ALLAMAND, Olivier",Men,1992,Albertville,Skiing,Moguls,1
FRA,"GUILLAUME, Sylvain",Men,1992,Albertville,Skiing,Individual,1
FRA,"BRIAND BOUTHIAUX, Anne",Women,1994,Lillehammer,Biathlon,15KM,1
FRA,"FOUCRAS, Sebastien",Men,1998,Nagano,Skiing,Aerials,1
FRA,"POIREE, Raphael",Men,2002,Salt Lake City,Biathlon,12.5Km Pursuit,1
FRA,"AMIEZ, Sebastien",Men,2002,Salt Lake City,Skiing,Slalom,1
FRA,"PEQUEGNOT, Laure",Women,2002,Salt Lake City,Skiing,Slalom,1
FRA,"RUBY, Karine",Women,2002,Salt Lake City,Skiing,Giant Parallel Slalom,1
FRA,"VIDAL, Doriane",Women,2002,Salt Lake City,Skiing,Half-Pipe,1
FRA,"CHENAL, Joel",Men,2006,Turin,Skiing,Giant Slalom,1
FRA,"DARRAGON, Roddy",Men,2006,Turin,Skiing,Sprint 1.5KM,1
FRA,"FOURCADE, Martin",Men,2010,Vancouver,Biathlon,15KM Mass Start,1
FRA,"BAILLY, Sandrine",Women,2010,Vancouver,Biathlon,4X6KM Relay,1
FRA,"BECAERT, Sylvie",Women,2010,Vancouver,Biathlon,4X6KM Relay,1
FRA,"BRUNET, Marie Laure",Women,2010,Vancouver,Biathlon,4X6KM Relay,1
FRA,"DORIN, Marie",Women,2010,Vancouver,Biathlon,4X6KM Relay,1
FRA,"ANTHONIOZ, Deborah",Women,2010,Vancouver,Skiing,Snowboard Cross,1
FRA,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,15KM Mass Start,1
FRA,"MISSILLIER, Steve",Men,2014,Sochi,Skiing,Giant Slalom,1
FRA,"BOVOLENTA, Arnaud",Men,2014,Sochi,Skiing,Ski Cross,1
FRA,"MARTINOD, Marie",Women,2014,Sochi,Skiing,Ski Halfpipe,1
