Country,Athlete,Gender,Year,Location,Sport,Event,Medals Earned,,,Country,Athlete,Gender,Year,Location,Sport,Event,Medals Earned,,,Country,Athlete,Gender,Year,Location,Sport,Event,Medals Earned
FRA,"BERTHET, G.",Men,1924,Chamonix,Biathlon,Military Patrol,1,,,FRA,"COUTTET, James",Men,1948,St.Moritz,Skiing,Slalom,1,,,FRA,"BRUNET, Andrí©e",Women,1928,St.Moritz,Skating,Pairs,1
FRA,"MANDRILLON, C.",Men,1924,Chamonix,Biathlon,Military Patrol,1,,,FRA,"CALMAT, Alain",Men,1964,Innsbruck,Skating,Individual,1,,,FRA,"BRUNET, Pierre",Men,1928,St.Moritz,Skating,Pairs,1
FRA,"MANDRILLON, Maurice",Men,1924,Chamonix,Biathlon,Military Patrol,1,,,FRA,"LACROIX, Lí©o",Men,1964,Innsbruck,Skiing,Downhill,1,,,FRA,"BRUNET, Andrí©e",Women,1932,Lake Placid,Skating,Pairs,1
FRA,"VANDELLE, Andrí©",Men,1924,Chamonix,Biathlon,Military Patrol,1,,,FRA,"GOITSCHEL, Christine",Women,1964,Innsbruck,Skiing,Giant Slalom,1,,,FRA,"BRUNET, Pierre",Men,1932,Lake Placid,Skating,Pairs,1
FRA,"ALDEERT, H.",Men,1924,Chamonix,Curling,Curling,1,,,FRA,"GOITSCHEL, Marielle",Women,1964,Innsbruck,Skiing,Slalom,1,,,FRA,"OREILLER, Henri",Men,1948,St.Moritz,Skiing,Alpine Combined,1
FRA,"ANDRE, Georges",Men,1924,Chamonix,Curling,Curling,1,,,FRA,"Pí_RILLAT, Guy",Men,1968,Grenoble,Skiing,Downhill,1,,,FRA,"OREILLER, Henri",Men,1948,St.Moritz,Skiing,Downhill,1
FRA,BENEDIC,Men,1924,Chamonix,Curling,Curling,1,,,FRA,"MIR, Isabelle",Women,1968,Grenoble,Skiing,Downhill,1,,,FRA,"VUARNET, Jean",Men,1960,Squaw Valley,Skiing,Downhill,1
FRA,"CANIVET, P.",Men,1924,Chamonix,Curling,Curling,1,,,FRA,"FAMOSE, Annie",Women,1968,Grenoble,Skiing,Giant Slalom,1,,,FRA,"BONLIEU, Franí_ois",Men,1964,Innsbruck,Skiing,Giant Slalom,1
FRA,"COURNOLLET, F.",Men,1924,Chamonix,Curling,Curling,1,,,FRA,"DEBERNARD, DaniíÂle",Women,1972,Sapporo,Skiing,Slalom,1,,,FRA,"GOITSCHEL, Marielle",Women,1964,Innsbruck,Skiing,Giant Slalom,1
FRA,"PLANQUE, R.",Men,1924,Chamonix,Curling,Curling,1,,,FRA,"PELEN, Perrine",Women,1984,Sarajevo,Skiing,Slalom,1,,,FRA,"GOITSCHEL, Christine",Women,1964,Innsbruck,Skiing,Slalom,1
FRA,"BRUNET, Andrí©e",Women,1924,Chamonix,Skating,Pairs,1,,,FRA,"DUCHESNAY, Paul",Men,1992,Albertville,Skating,Ice Dancing,1,,,FRA,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Downhill,1
FRA,"BRUNET, Pierre",Men,1924,Chamonix,Skating,Pairs,1,,,FRA,"DUCHESNAY-DEAN, Isabelle",Women,1992,Albertville,Skating,Ice Dancing,1,,,FRA,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Giant Slalom,1
FRA,"ALLAIS, Emile",Men,1936,Garmisch Partenkirchen,Skiing,Alpine Combined,1,,,FRA,"PICCARD, Franck",Men,1992,Albertville,Skiing,Downhill,1,,,FRA,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Slalom,1
FRA,"COUTTET, James",Men,1948,St.Moritz,Skiing,Alpine Combined,1,,,FRA,"MERLE, Carole",Women,1992,Albertville,Skiing,Super-G,1,,,FRA,"GOITSCHEL, Marielle",Women,1968,Grenoble,Skiing,Slalom,1
FRA,"OREILLER, Henri",Men,1948,St.Moritz,Skiing,Slalom,1,,,FRA,"ALLAMAND, Olivier",Men,1992,Albertville,Skiing,Moguls,1,,,FRA,"PICCARD, Franck",Men,1988,Calgary,Skiing,Super-G,1
FRA,"DU BIEF, Jacqueline",Women,1952,Oslo,Skating,Individual,1,,,FRA,"GUILLAUME, Sylvain",Men,1992,Albertville,Skiing,Individual,1,,,FRA,"BRIAND BOUTHIAUX, Anne",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
FRA,"Pí_RILLAT, Guy",Men,1960,Squaw Valley,Skiing,Downhill,1,,,FRA,"BRIAND BOUTHIAUX, Anne",Women,1994,Lillehammer,Biathlon,15KM,1,,,FRA,"CLAUDEL, Ví©ronique",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
FRA,"BOZON, Charles",Men,1960,Squaw Valley,Skiing,Slalom,1,,,FRA,"FOUCRAS, Sebastien",Men,1998,Nagano,Skiing,Aerials,1,,,FRA,"NIOGRET, Corinne",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
FRA,"PERA, Patrick",Men,1968,Grenoble,Skating,Individual,1,,,FRA,"POIREE, Raphael",Men,2002,Salt Lake City,Biathlon,12.5Km Pursuit,1,,,FRA,"GROSPIRON, Edgar",Men,1992,Albertville,Skiing,Moguls,1
FRA,"FAMOSE, Annie",Women,1968,Grenoble,Skiing,Slalom,1,,,FRA,"AMIEZ, Sebastien",Men,2002,Salt Lake City,Skiing,Slalom,1,,,FRA,"GUY, Fabrice",Men,1992,Albertville,Skiing,Individual,1
FRA,"PERA, Patrick",Men,1972,Sapporo,Skating,Individual,1,,,FRA,"PEQUEGNOT, Laure",Women,2002,Salt Lake City,Skiing,Slalom,1,,,FRA,"CRETIER, Jean-Luc",Men,1998,Nagano,Skiing,Downhill,1
FRA,"STEURER, Florence",Women,1972,Sapporo,Skiing,Slalom,1,,,FRA,"RUBY, Karine",Women,2002,Salt Lake City,Skiing,Giant Parallel Slalom,1,,,FRA,"RUBY, Karine",Women,1998,Nagano,Skiing,Giant-Slalom,1
FRA,"DEBERNARD, DaniíÂle",Women,1976,Innsbruck,Skiing,Giant Slalom,1,,,FRA,"VIDAL, Doriane",Women,2002,Salt Lake City,Skiing,Half-Pipe,1,,,FRA,"ANISSINA, Marina",Women,2002,Salt Lake City,Skating,Ice Dancing,1
FRA,"PELEN, Perrine",Women,1980,Lake Placid,Skiing,Giant Slalom,1,,,FRA,"CHENAL, Joel",Men,2006,Turin,Skiing,Giant Slalom,1,,,FRA,"PEIZERAT, Gwendal",Men,2002,Salt Lake City,Skating,Ice Dancing,1
FRA,"PELEN, Perrine",Women,1984,Sarajevo,Skiing,Giant Slalom,1,,,FRA,"DARRAGON, Roddy",Men,2006,Turin,Skiing,Sprint 1.5KM,1,,,FRA,"MONTILLET-CARLES, Carole",Women,2002,Salt Lake City,Skiing,Downhill,1
FRA,"BOUVET, Didier",Men,1984,Sarajevo,Skiing,Slalom,1,,,FRA,"FOURCADE, Martin",Men,2010,Vancouver,Biathlon,15KM Mass Start,1,,,FRA,"VIDAL, Jean-Pierre",Men,2002,Salt Lake City,Skiing,Slalom,1
FRA,"PICCARD, Franck",Men,1988,Calgary,Skiing,Downhill,1,,,FRA,"BAILLY, Sandrine",Women,2010,Vancouver,Biathlon,4X6KM Relay,1,,,FRA,"BLANC, Isabelle",Women,2002,Salt Lake City,Skiing,Giant Parallel Slalom,1
FRA,"MASNADA, Florence",Women,1992,Albertville,Skiing,Alpine Combined,1,,,FRA,"BECAERT, Sylvie",Women,2010,Vancouver,Biathlon,4X6KM Relay,1,,,FRA,"DEFRASNE, Vincent",Men,2006,Turin,Biathlon,12.5Km Pursuit,1
FRA,"BAILLY-SALINS, Patrice",Men,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"BRUNET, Marie Laure",Women,2010,Vancouver,Biathlon,4X6KM Relay,1,,,FRA,"BAVEREL-ROBERT, Florence",Women,2006,Turin,Biathlon,7.5KM,1
FRA,"DUSSERRE, Thierry",Men,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"DORIN, Marie",Women,2010,Vancouver,Biathlon,4X6KM Relay,1,,,FRA,"DENERIAZ, Antoine",Men,2006,Turin,Skiing,Downhill,1
FRA,"FLANDIN, Herví©",Men,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"ANTHONIOZ, Deborah",Women,2010,Vancouver,Skiing,Snowboard Cross,1,,,FRA,"JAY, Vincent",Men,2010,Vancouver,Biathlon,10KM,1
FRA,"LAURENT, Lionel",Men,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,15KM Mass Start,1,,,FRA,"LAMY CHAPPUIS, Jason",Men,2010,Vancouver,Skiing,"Individual, Ski Jumping K90 (70M)",1
FRA,"BRIAND BOUTHIAUX, Anne",Women,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"MISSILLIER, Steve",Men,2014,Sochi,Skiing,Giant Slalom,1,,,FRA,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,12.5Km Pursuit,1
FRA,"BURLET, Delphyne",Women,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"BOVOLENTA, Arnaud",Men,2014,Sochi,Skiing,Ski Cross,1,,,FRA,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,20KM,1
FRA,"CLAUDEL, Ví©ronique",Women,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,FRA,"MARTINOD, Marie",Women,2014,Sochi,Skiing,Ski Halfpipe,1,,,FRA,"CHAPUIS, Jean Frederic",Men,2014,Sochi,Skiing,Ski Cross,1
FRA,"NIOGRET, Corinne",Women,1994,Lillehammer,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,FRA,"VAULTIER, Pierre",Men,2014,Sochi,Skiing,Snowboard Cross,1
FRA,"CANDELORO, Philippe",Men,1994,Lillehammer,Skating,Individual,1,,,,,,,,,,,,,,,,,,,,
FRA,"GROSPIRON, Edgar",Men,1994,Lillehammer,Skiing,Moguls,1,,,,,,,,,,,,,,,,,,,,
FRA,"HOSTACHE, Emanuel",Men,1998,Nagano,Bobsleigh,Four-Man,1,,,,,,,,,,,,,,,,,,,,
FRA,"LE CHANONY, Eric",Men,1998,Nagano,Bobsleigh,Four-Man,1,,,,,,,,,,,,,,,,,,,,
FRA,"MINGEON, Bruno",Men,1998,Nagano,Bobsleigh,Four-Man,1,,,,,,,,,,,,,,,,,,,,
FRA,"ROBERT, Max",Men,1998,Nagano,Bobsleigh,Four-Man,1,,,,,,,,,,,,,,,,,,,,
FRA,"ANISSINA, Marina",Women,1998,Nagano,Skating,Ice Dancing,1,,,,,,,,,,,,,,,,,,,,
FRA,"PEIZERAT, Gwendal",Men,1998,Nagano,Skating,Ice Dancing,1,,,,,,,,,,,,,,,,,,,,
FRA,"CANDELORO, Philippe",Men,1998,Nagano,Skating,Individual,1,,,,,,,,,,,,,,,,,,,,
FRA,"MASNADA, Florence",Women,1998,Nagano,Skiing,Downhill,1,,,,,,,,,,,,,,,,,,,,
FRA,"BAL, Nicolas",Men,1998,Nagano,Skiing,Team,1,,,,,,,,,,,,,,,,,,,,
FRA,"GUILLAUME, Sylvain",Men,1998,Nagano,Skiing,Team,1,,,,,,,,,,,,,,,,,,,,
FRA,"GUY, Fabrice",Men,1998,Nagano,Skiing,Team,1,,,,,,,,,,,,,,,,,,,,
FRA,"ROUX, Ludovic",Men,1998,Nagano,Skiing,Team,1,,,,,,,,,,,,,,,,,,,,
FRA,"DEFRASNE, Vincent",Men,2002,Salt Lake City,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"MARGUET, Gilles",Men,2002,Salt Lake City,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"POIREE, Raphael",Men,2002,Salt Lake City,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"ROBERT, Julien",Men,2002,Salt Lake City,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"GAY, Richard",Men,2002,Salt Lake City,Skiing,Moguls,1,,,,,,,,,,,,,,,,,,,,
FRA,"BAILLY, Sandrine",Women,2006,Turin,Biathlon,4X6KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"BAVEREL-ROBERT, Florence",Women,2006,Turin,Biathlon,4X6KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"BECAERT, Sylvie",Women,2006,Turin,Biathlon,4X6KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"PERETTO, Delphyne",Women,2006,Turin,Biathlon,4X6KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"CANNARD, Ferreol",Men,2006,Turin,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"DEFRASNE, Vincent",Men,2006,Turin,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"POIREE, Raphael",Men,2006,Turin,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"ROBERT, Julien",Men,2006,Turin,Biathlon,4X7.5KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"LAOURA, Sandra",Women,2006,Turin,Skiing,Moguls,1,,,,,,,,,,,,,,,,,,,,
FRA,"DELERUE, Paul-Henri",Men,2006,Turin,Skiing,Snowboard Cross,1,,,,,,,,,,,,,,,,,,,,
FRA,"BRUNET, Marie Laure",Women,2010,Vancouver,Biathlon,10KM Pursuit,1,,,,,,,,,,,,,,,,,,,,
FRA,"JAY, Vincent",Men,2010,Vancouver,Biathlon,12.5Km Pursuit,1,,,,,,,,,,,,,,,,,,,,
FRA,"DORIN, Marie",Women,2010,Vancouver,Biathlon,7.5KM,1,,,,,,,,,,,,,,,,,,,,
FRA,"JOSSERAND, Marion",Women,2010,Vancouver,Skiing,Ski Cross,1,,,,,,,,,,,,,,,,,,,,
FRA,"BOZZETTO, Mathieu",Men,2010,Vancouver,Skiing,Giant Parallel Slalom,1,,,,,,,,,,,,,,,,,,,,
FRA,"RAMOIN, Tony",Men,2010,Vancouver,Skiing,Snowboard Cross,1,,,,,,,,,,,,,,,,,,,,
FRA,"BEATRIX, Jean Guillaume",Men,2014,Sochi,Biathlon,12.5Km Pursuit,1,,,,,,,,,,,,,,,,,,,,
FRA,"PINTURAULT, Alexis",Men,2014,Sochi,Skiing,Giant Slalom,1,,,,,,,,,,,,,,,,,,,,
FRA,"DUVILLARD, Robin",Men,2014,Sochi,Skiing,4X10KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"GAILLARD, Jean Marc",Men,2014,Sochi,Skiing,4X10KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"MANIFICAT, Maurice",Men,2014,Sochi,Skiing,4X10KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"PERRILLAT BOITEUX, Ivan",Men,2014,Sochi,Skiing,4X10KM Relay,1,,,,,,,,,,,,,,,,,,,,
FRA,"MIDOL, Jonathan",Men,2014,Sochi,Skiing,Ski Cross,1,,,,,,,,,,,,,,,,,,,,
FRA,"ROLLAND, Kevin",Men,2014,Sochi,Skiing,Ski Halfpipe,1,,,,,,,,,,,,,,,,,,,,
FRA,"MATTEL, Coline",Women,2014,Sochi,Skiing,K90 Individual,1,,,,,,,,,,,,,,,,,,,,
FRA,"TRESPEUCH, Chloe",Women,2014,Sochi,Skiing,Snowboard Cross,1,,,,,,,,,,,,,,,,,,,,
